# q in nm-1	I	poisson_error
1.534133333808537225e-01	1.037926197052001953e+00	2.515103303458071649e-01
1.701916152350436418e-01	8.563619256019592285e-01	1.248194350851283274e-01
1.869698970892335610e-01	7.069823741912841797e-01	8.748694500900745796e-02
2.037481789434235080e-01	5.947557687759399414e-01	6.791876409599900688e-02
2.205264607976133995e-01	5.047057867050170898e-01	5.411395590917426890e-02
2.373047426518033465e-01	4.464816749095916748e-01	4.476400029260926144e-02
2.540830245059932935e-01	4.025605022907257080e-01	3.813502465754851911e-02
2.708613063601831850e-01	3.647099435329437256e-01	3.620173747549842308e-02
2.876395882143730764e-01	3.380389213562011719e-01	3.439195003519565641e-02
3.044178700685630234e-01	3.171949684619903564e-01	3.287682985399195679e-02
3.211961519227529704e-01	3.016105294227600098e-01	3.181877637745941095e-02
3.379744337769428619e-01	2.894005775451660156e-01	3.022282718325592157e-02
3.547527156311328089e-01	2.773828506469726562e-01	2.788136767336980501e-02
3.715309974853227004e-01	2.695957124233245850e-01	2.644437949380493494e-02
3.883092793395126474e-01	2.629926800727844238e-01	2.529321418475315164e-02
4.050875611937025389e-01	2.580004930496215820e-01	2.426595278898953031e-02
4.218658430478924859e-01	2.532162368297576904e-01	2.337464911947091314e-02
4.386441249020824329e-01	2.489599734544754028e-01	2.265658720657937053e-02
4.554224067562723244e-01	2.445024251937866211e-01	2.197025224447122019e-02
4.722006886104622714e-01	2.403415590524673462e-01	2.134919939202822858e-02
4.889789704646521629e-01	2.355215996503829956e-01	2.073624508731771593e-02
5.057572523188420544e-01	2.312662601470947266e-01	2.011307863712874858e-02
5.225355341730320013e-01	2.275320887565612793e-01	1.954495965599804819e-02
5.393138160272219483e-01	2.235390841960906982e-01	1.904794797503147827e-02
5.560920978814118953e-01	2.183887511491775513e-01	1.851981461364755541e-02
5.728703797356018423e-01	2.131937742233276367e-01	1.846946959667754642e-02
5.896486615897917893e-01	2.097312808036804199e-01	1.847668936702680925e-02
6.064269434439816253e-01	2.048355937004089355e-01	1.826118954495736108e-02
6.232052252981715723e-01	1.998655050992965698e-01	1.798274587171614161e-02
6.399835071523614083e-01	1.957175433635711670e-01	1.765134385927612931e-02
6.567617890065513553e-01	1.913577467203140259e-01	1.727953249160631144e-02
6.735400708607413023e-01	1.869882047176361084e-01	1.697503690804458981e-02
6.903183527149312493e-01	1.832109689712524414e-01	1.670791189802027857e-02
7.070966345691211963e-01	1.793905645608901978e-01	1.643865022497266806e-02
7.238749164233111433e-01	1.741618365049362183e-01	1.579538074319866703e-02
7.406531982775009793e-01	1.708223223686218262e-01	1.513732004509924477e-02
7.574314801316909262e-01	1.676156818866729736e-01	1.468663833566083432e-02
7.742097619858808732e-01	1.634076833724975586e-01	1.426776270565002086e-02
7.909880438400708202e-01	1.597732305526733398e-01	1.394943091856710830e-02
8.077663256942606562e-01	1.569306105375289917e-01	1.364227432306867535e-02
8.245446075484506032e-01	1.530263274908065796e-01	1.328591373629685324e-02
8.413228894026405502e-01	1.504663825035095215e-01	1.300215943264261542e-02
8.581011712568304972e-01	1.469945013523101807e-01	1.269124146176374250e-02
8.748794531110204442e-01	1.440291553735733032e-01	1.241170520428493997e-02
8.916577349652102802e-01	1.411042958498001099e-01	1.214053938554227226e-02
9.084360168194002272e-01	1.383932530879974365e-01	1.188862573881052306e-02
9.252142986735901742e-01	1.362220644950866699e-01	1.166423704204483380e-02
9.419925805277801212e-01	1.330385357141494751e-01	1.140451269295292454e-02
9.587708623819700682e-01	1.313196122646331787e-01	1.121600501360327413e-02
9.755491442361599042e-01	1.289520263671875000e-01	1.100149220834599657e-02
9.923274260903498512e-01	1.267567873001098633e-01	1.080059304746934859e-02
1.009105707944539798e+00	1.251137852668762207e-01	1.062670039809825683e-02
1.025883989798729745e+00	1.231849640607833862e-01	1.044123545831480981e-02
1.042662271652919692e+00	1.212267205119132996e-01	1.026665820207033238e-02
1.059440553507109417e+00	1.196010485291481018e-01	1.010618056447805391e-02
1.076218835361299586e+00	1.181556135416030884e-01	9.954940106599039287e-03
1.092997117215489311e+00	1.164199262857437134e-01	9.798492960595714743e-03
1.109775399069679480e+00	1.147941574454307556e-01	9.647240867071249504e-03
1.126553680923869205e+00	1.134099215269088745e-01	9.508953896975988820e-03
1.143331962778059152e+00	1.118603199720382690e-01	9.366628863244554071e-03
1.160110244632249099e+00	1.107639372348785400e-01	9.247396386730029685e-03
1.176888526486438824e+00	1.096314936876296997e-01	9.134142222665616456e-03
1.193666808340628993e+00	1.082030534744262695e-01	9.015461650089071771e-03
1.210445090194818718e+00	1.066862568259239197e-01	9.061163444006281945e-03
1.227223372049008887e+00	1.057553887367248535e-01	9.079635539697091667e-03
1.244001653903198612e+00	1.049253642559051514e-01	9.033283196749015975e-03
1.260779935757388781e+00	1.038195490837097168e-01	8.977982533102108267e-03
1.277558217611578506e+00	1.025202199816703796e-01	8.916163669185782695e-03
1.294336499465768675e+00	1.015648096799850464e-01	8.864702670715858199e-03
1.311114781319958400e+00	1.005804464221000671e-01	8.809044255180056154e-03
1.327893063174148125e+00	9.979226440191268921e-02	8.760647398009668504e-03
1.344671345028338294e+00	9.895367175340652466e-02	8.708607070484718909e-03
1.361449626882528019e+00	9.797663241624832153e-02	8.493085167197083479e-03
