	Time	VacSampleX	VacSampleY	Energy	Pilatus_Tiff	Pilatus_Trigger	Pilatus_filename	PilatusAcqTime	Keysight1	Keysight2	Keysight3	Keysight4	Keysight1:StandardDeviation	Keysight2:StandardDeviation	Keysight3:StandardDeviation	Keysight4:StandardDeviation	PilatusPos	SampleName	SampleThickness	Empty_Index	Background_Index	Reference_Index	MaskFile	BackGround_SubtractionFactor	x_Center	y_Center	SampleToDet_Distance
0	34.827	132.99999999999991	-1.0999999999958527e-05	7000.002692	378.0	379.0	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00378.tif	600.0	2.2993175707154787e-06	5.430642595673874e-10	5.540261148086521e-13	2.933571314475872e-07	2.642886506973073e-09	2.69551369036128e-11	2.4600550507155943e-14	3.44247630385555e-10	3012.8740000000003	NaN	NaN	NaN	NaN	NaN	NaN	1.0	457.0	557.0	0.802
1	639.8340000000001	122.99999999999987	-3.999999999958464e-06	7000.002692	379.0	380.0	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00379.tif	300.0	2.1528534219269108e-06	5.432002325581396e-10	5.483372491694352e-13	2.934600365448505e-07	2.735894476166459e-09	2.427761762637352e-11	2.329991064176797e-14	3.70475067078327e-10	3012.8740000000003	NaN	NaN	NaN	NaN	NaN	NaN	1.0	457.0	557.0	0.802
2	944.835	112.99999999999987	4.163336342344337e-17	7000.002692	380.0	381.0	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00380.tif	10.0	1.337529272727273e-06	5.675809090909091e-10	5.626722727272727e-13	2.930907272727273e-07	2.5145579767010377e-10	1.6863055152934454e-11	1.2175043499642289e-14	6.612728772465015e-11	3012.8740000000003	NaN	NaN	NaN	NaN	NaN	NaN	1.0	457.0	557.0	0.802
3	963.534	88.15999999999991	1.0000000000417659e-06	7000.002692	381.0	382.0	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00381.tif	600.0	1.4488232712146428e-06	5.8200302828619e-10	5.45635450915142e-13	2.918485940099833e-07	7.234392630897871e-09	3.0772020053086e-11	2.014421780730135e-14	1.5523205934657007e-09	3012.8740000000003	NaN	NaN	NaN	NaN	NaN	NaN	1.0	457.0	557.0	0.802
4	1567.693	83.09999999999991	4.163336342344337e-17	7000.002692	382.0	383.0	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00382.tif	600.0	9.860936056572376e-07	5.657099001663896e-10	5.56691207986688e-13	2.900035940099833e-07	1.5814973461569682e-09	2.4581832057911194e-11	2.25467718497572e-14	4.827975851541582e-10	3012.8740000000003	NaN	NaN	NaN	NaN	NaN	NaN	1.0	457.0	557.0	0.802
5	2171.456	78.55999999999989	4.163336342344337e-17	7000.002692	383.0	384.0	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00383.tif	300.0	1.043859326666665e-06	5.645523666666667e-10	5.299142366666663e-13	2.900007066666667e-07	1.3619978710060329e-09	2.5361456589347065e-11	1.9057750214846742e-14	3.593864624423886e-10	3012.8740000000003	NaN	NaN	NaN	NaN	NaN	NaN	1.0	457.0	557.0	0.802
6	2475.185	73.02999999999993	3.0000000000415983e-06	7000.002692	384.0	385.0	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00384.tif	300.0	1.0632855681063122e-06	5.681103986710957e-10	5.305718604651162e-13	2.9051063455149515e-07	2.4577139932966464e-09	2.6727524536337692e-11	2.8287434244445007e-14	6.574411603600299e-10	3012.8740000000003	NaN	NaN	NaN	NaN	NaN	NaN	1.0	457.0	557.0	0.802
7	2778.9320000000002	68.58999999999992	4.163336342344337e-17	7000.002692	385.0	386.0	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00385.tif	420.0	1.0772932000000006e-06	5.622021904761905e-10	5.434148738095245e-13	2.901509309523809e-07	3.911709950641386e-09	2.7395598874134162e-11	2.967750749752514e-14	1.0474092108087086e-09	3012.8740000000003	NaN	NaN	NaN	NaN	NaN	NaN	1.0	457.0	557.0	0.802
8	3202.678	63.32999999999986	4.163336342344337e-17	7000.002692	386.0	387.0	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00386.tif	600.0	1.0531440465890178e-06	5.493871547420963e-10	5.641652562396007e-13	2.9111024792013286e-07	1.6184859183279264e-09	2.7351723432433804e-11	2.5283501798885142e-14	4.680455498842708e-10	3012.8740000000003	NaN	NaN	NaN	NaN	NaN	NaN	1.0	457.0	557.0	0.802
9	3806.631	57.9399999999999	1.0000000000417659e-06	7000.002692	387.0	388.0	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00387.tif	600.0	1.0207122163061576e-06	5.435592678868553e-10	5.813622046589019e-13	2.914781547420966e-07	1.5554304355385155e-09	3.215068069984065e-11	2.096892981611235e-14	4.221895005187951e-10	3012.8740000000003	NaN	NaN	NaN	NaN	NaN	NaN	1.0	457.0	557.0	0.802
