	Time	VacSampleX	VacSampleY	Energy	Pilatus_Tiff	Pilatus_Trigger	Pilatus_filename	PilatusAcqTime	Keysight1	Keysight2	Keysight3	Keysight4	Keysight1:StandardDeviation	Keysight2:StandardDeviation	Keysight3:StandardDeviation	Keysight4:StandardDeviation	PilatusPos	SampleName	SampleThickness	Empty_Index	Background_Index	Reference_Index	MaskFile	x_Center	y_Center	SampleToDet_Distance	Unnamed: 27	AbsCalibrationFactor	BackGrTransm	ReferenceTransm	SampleName_Reduction	Transm	TransmDev
0	34.827	133.0	-1.09999999999585e-05	7000.002692	378	379	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00378.tif	600	2.29931757071548e-06	5.430642595673871e-10	5.54026114808652e-13	2.9335713144758703e-07	2.64288650697307e-09	2.69551369036128e-11	2.46005505071559e-14	3.44247630385555e-10	3012.8740000000003	Empty	1.0	0	0	1	mask_short2.edf	456.736	556.5790000000001	0.80169	0	1.3671607137777538e-09	1.0	0.935972710692432	Empty	1.0	0.002322898396343198
1	639.8340000000001	123.0	-3.9999999999584605e-06	7000.002692	379	380	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00379.tif	300	2.15285342192691e-06	5.4320023255814e-10	5.48337249169435e-13	2.9346003654485104e-07	2.7358944761664602e-09	2.4277617626373497e-11	2.3299910641767998e-14	3.70475067078327e-10	3012.8740000000003	GC	0.0054	0	0	1	mask_short2.edf	456.736	556.5790000000001	0.80169	0	1.3671607137777538e-09	1.0	0.935972710692432	GC	0.935972710692432	0.0023710625470877915
2	944.835	113.0	4.16333634234434e-17	7000.002692	380	381	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00380.tif	10	1.3375292727272699e-06	5.67580909090909e-10	5.62672272727273e-13	2.93090727272727e-07	2.51455797670104e-10	1.68630551529345e-11	1.21750434996423e-14	6.61272877246502e-11	3012.8740000000003	AgBeh	0.02	0	0	1	mask_short2.edf	456.736	556.5790000000001	0.80169	0	1.3671607137777538e-09	1.0	0.935972710692432	AgBeh	0.5822358051283638	0.00024082481542033683
3	963.534	88.15999999999991	1.00000000004177e-06	7000.002692	381	382	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00381.tif	600	1.44882327121464e-06	5.8200302828619e-10	5.45635450915142e-13	2.91848594009983e-07	7.234392630897869e-09	3.0772020053086e-11	2.01442178073013e-14	1.5523205934657e-09	3012.8740000000003	Empty Cap	0.1	0	0	1	mask_short2.edf	456.736	556.5790000000001	0.80169	0	1.3671607137777538e-09	1.0	0.935972710692432	Empty Cap	0.6333670992319331	0.006531416362882512
4	1567.693	83.09999999999991	4.16333634234434e-17	7000.002692	382	383	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00382.tif	600	9.86093605657238e-07	5.6570990016639e-10	5.56691207986688e-13	2.90003594009983e-07	1.58149734615697e-09	2.4581832057911197e-11	2.25467718497572e-14	4.82797585154158e-10	3012.8740000000003	Hexane Cap	0.1	0	0	1	mask_short2.edf	456.736	556.5790000000001	0.80169	0	1.3671607137777538e-09	1.0	0.935972710692432	Hexane Cap	0.43382288152770393	0.001417993060347255
5	2171.456	78.5599999999999	4.16333634234434e-17	7000.002692	383	384	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00383.tif	300	1.04385932666666e-06	5.64552366666667e-10	5.299142366666661e-13	2.9000070666666697e-07	1.36199787100603e-09	2.53614565893471e-11	1.9057750214846698e-14	3.59386462442389e-10	3012.8740000000003	223	0.1	0	3	1	mask_short2.edf	456.736	556.5790000000001	0.80169	3	1.3671607137777538e-09	0.6333670992319331	0.935972710692432	223	0.45924095555596117	0.0011683237401666922
6	2475.185	73.0299999999999	3.0000000000416e-06	7000.002692	384	385	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00384.tif	300	1.06328556810631e-06	5.68110398671096e-10	5.305718604651161e-13	2.90510634551495e-07	2.45771399329665e-09	2.67275245363377e-11	2.8287434244445e-14	6.5744116036003e-10	3012.8740000000003	214neu	0.1	0	3	1	mask_short2.edf	456.736	556.5790000000001	0.80169	3	1.3671607137777538e-09	0.6333670992319331	0.935972710692432	214neu	0.4669663397171284	0.002136131582936522
7	2778.9320000000002	68.58999999999989	4.16333634234434e-17	7000.002692	385	386	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00385.tif	420	1.0772932e-06	5.6220219047619e-10	5.43414873809525e-13	2.9015093095238105e-07	3.91170995064139e-09	2.7395598874134197e-11	2.96775074975251e-14	1.04740921080871e-09	3012.8740000000003	211	0.1	0	3	1	mask_short2.edf	456.736	556.5790000000001	0.80169	3	1.3671607137777538e-09	0.6333670992319331	0.935972710692432	211	0.4737046440098137	0.0034300627784313135
8	3202.678	63.32999999999989	4.16333634234434e-17	7000.002692	386	387	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00386.tif	600	1.05314404658902e-06	5.49387154742096e-10	5.641652562396011e-13	2.91110247920133e-07	1.61848591832793e-09	2.7351723432433804e-11	2.52835017988851e-14	4.68045549884271e-10	3012.8740000000003	187	0.1	0	3	1	mask_short2.edf	456.736	556.5790000000001	0.80169	3	1.3671607137777538e-09	0.6333670992319331	0.935972710692432	187	0.46155979853014184	0.001451424753943177
9	3806.631	57.9399999999999	1.00000000004177e-06	7000.002692	387	388	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00387.tif	600	1.02071221630616e-06	5.43559267886855e-10	5.813622046589021e-13	2.91478154742097e-07	1.5554304355385199e-09	3.21506806998407e-11	2.09689298161124e-14	4.2218950051879503e-10	3012.8740000000003	193	0.1	0	3	1	mask_short2.edf	456.736	556.5790000000001	0.80169	3	1.3671607137777538e-09	0.6333670992319331	0.935972710692432	193	0.44678130605222954	0.0013279728936713459
