,,,,,,,7000ev ,8004ev ,8239ev,8304ev,8324ev,8330ev,8973ev,10000ev
,Sample,background,background #,aq.time [s],x,y,tif#,tif#,tif#,tif#,tif#,tif#,tif#,tif#
1,empty beam,empty beam,1,600,133,0,378,396,414,432,450,468,486,504
2,GC,empty beam,1,300,123,0,379,397,415,433,451,469,487,505
3,AgBehe,empty beam,1,10,113,0,380,398,416,434,452,470,488,506
4,empty Cap,empty beam,1,600,88.16,0,381,399,417,435,453,471,489,507
5,Hexane Cap,empty beam,1,600,83.1,0,382,400,418,436,454,472,490,508
6,223,empty Cap,4,300,78.56,0,383,401,419,437,455,473,491,509
7,214neu,empty Cap,4,300,73.03,0,384,402,420,438,456,474,492,510
8,211,empty Cap,4,420,68.59,0,385,403,421,439,457,475,493,511
9,187,empty Cap,4,600,63.33,0,386,404,422,440,458,476,494,512
10,193,empty Cap,4,600,57.94,0,387,405,423,441,459,477,495,513
11,207,empty Cap,4,600,53.27,0,388,406,424,442,460,478,496,514
12,193neu,empty Cap,4,600,43.51,0,389,407,425,443,461,479,497,515
13,203,empty Kapton Hexane,17,150,23,9.5,390,408,426,444,462,480,498,516
14,217,empty Kapton Hexane,17,300,23,1,391,409,427,445,463,481,499,517
15,195,empty Kapton Hexane,17,300,23,-9.15,392,410,428,446,464,482,500,518
16,232,empty Kapton Hexane,17,600,13,7.8,393,411,429,447,465,483,501,519
17,empty Kapton Hexane,empty beam,1,600,13,0,394,412,430,448,466,484,502,520
18,empty Kapton,empty beam,1,600,13,-9.15,395,413,431,449,467,485,503,521
